core,section,cut,ave_depth,ave_depth_adj,y_m,x_m,FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
alhic2302,155_2,stick1,126.40059939898,126.3962887429622,0.016,0.015,0.058259907,5.0152,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40089535388,126.3965846978622,0.016,0.015,0.0626202,5.493,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40123206434001,126.3969214083222,0.016,0.015,0.06415552,5.4912,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40160004277,126.39728938675219,0.016,0.015,0.063525,5.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40193296776,126.3976223117422,0.016,0.015,0.06363992,5.4862,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40226560124,126.3979549452222,0.016,0.015,0.062659233,5.4884,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40249909961,126.39818844359219,0.016,0.015,0.05658876,4.8924,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.4028614731,126.3985508170822,0.016,0.015,0.028953573,2.0632,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40316151253,126.3988508565122,0.016,0.015,0.02356431,2.0402,1.64,9.463107891,0.057771979,0.230683511,0.299489938,0.126925037,0.15852631,0.0,0.0,0.0,0.0,0.396258002,0.0,0.0,0.0,0.0,0.798639834,0.0,0.0,0.0,0.0,0.0,7.39481328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40346606118,126.39915540516219,0.016,0.015,0.02857776,2.4636,1.62,229.0614741,5.097151749,4.628547247,2.634131805,2.197825143,2.875746325,1.446971817,2.926813117,3.042523225,1.111274355,2.613933746,2.286572747,3.529325035,3.043428327,1.738795664,1.975598854,4.465962397,10.31401511,8.132719982,12.48773596,8.890194841,18.29258198,26.0454927,12.6381734,8.822026391,0.0,17.78038968,25.3162189,34.7273236,0.0,82.3166189
