Depth (cm),FlowThrough (mL),FlowRate (mL/min),Conductivity (µS),Dust Concentration (<12 µm),x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
4.275491609,0.061344033,5.3732,1.75,47.30750094,1.087416011,0.856595318,0.690265053,0.585074198,0.426267076,0.374492759,0.727192813,0.545150496,0.647123487,0.456648148,0.710149232,0.616564878,0.70890647,0.810036159,0.306784468,2.774020436,1.747233415,1.623734026,0.727192813,3.106192739,5.681193852,2.022260898,0,0,0,8.283180636,11.79382555,0,0,0
4.302183517,0.063156313,5.4602,1.76,61.18933992,1.293321359,1.20498751,0.707705448,0.473571171,0.473183175,0.654743938,0.618035167,0.317704392,0.628554181,0.591392747,0.344885696,1.596993214,0.459042861,1.311320081,1.489906206,3.031221935,0,3.154281463,4.237955429,3.017060066,5.518171132,0,2.859339527,0,5.650607239,0,0,0,21.55535598,37.24765514
4.329681702,0.057115143,4.8886,1.72,103.3300004,1.334777036,0.983468487,0.988497736,0.94259094,0.327020374,0.321776607,1.269182279,0.819719947,0.695037471,0.98091811,0.953412169,0.662216257,1.268991596,1.450020732,0.988497736,4.096692912,1.407450879,2.325276938,1.562070497,2.224119907,3.050918939,0,12.64710776,13.24239448,18.74484596,0,12.66705791,17.37593677,0,41.18740568
4.360720051,0.063004293,5.4628,1.73,112.1280328,1.836626098,1.754323641,1.232138431,0.569656593,0.830068567,0.291699439,0.531022623,1.061569885,1.134127419,1.333844302,1.210012488,0.40021163,0.690225695,1.314484102,0.896100677,1.688075458,2.551786693,3.688874321,2.124090493,4.032453046,1.382871415,0,8.598716065,8.00306581,0,16.12981218,11.48304012,15.75176971,21.60736586,37.3375282
4.39078902,0.06283952,5.4172,1.72,76.20655938,1.559809667,1.470575556,1.459981849,1.142300613,0.475568636,0.950509016,0.887358389,0.74504742,0.379033749,0.742967674,0.346624371,0.601891555,0,1.054344679,0,1.354001447,2.558477807,2.641819304,4.969206976,2.021513329,0,1.97413411,11.49501734,4.012025441,5.679093687,16.17210663,11.51315013,0,0,37.43543202
4.422694308,0.060098573,5.2184,1.76,63.96494772,1.427080123,1.537644855,0.86114092,0.646965641,0.621572676,0.535155046,0.649480021,1.001606378,1.056854766,0.621482068,1.812165236,0.629342334,1.68839435,1.378038402,0.626284306,1.415754091,2.675163625,3.86722857,2.969051523,5.284273828,7.248660944,6.192508392,15.02409567,4.195003957,0,0,0,0,0,39.1427691
4.451707201,0.05966304,5.2336,1.7,122.9100873,1.003966609,1.336279556,0.670284616,0.651688416,0.313055043,0.770088024,0.186920329,1.345223986,0.532284842,0.626018815,0.54761815,1.479185076,0.728879758,0.555239169,0.630856109,1.782611166,0.449115335,3.895458894,2.990725257,2.129139368,1.460315067,0,12.10701587,0,5.981450515,17.03311494,24.25222811,16.63390131,22.81742292,78.85701362
4.48086594,0.048745443,4.2326,1.7,104.9339204,1.61981695,2.081632348,1.109965601,0.552217941,0.842975083,1.036822488,1.143925901,1.234887002,0.977252323,0.383114637,1.563961193,1.551840494,2.081632348,0.679596994,1.158224975,3.927357908,2.198817726,0,0.915140721,2.606006194,10.72430533,5.089855848,18.52330502,10.34409519,7.321125769,10.42402478,14.84201965,0,0,96.51874794
4.510928324,0.062681083,5.365,1.67,56.07025144,1.542033558,1.416477277,1.050841573,0.715742478,0.536367053,0.659708019,0.444800666,0.533521892,0.759983638,0.893814776,1.042501561,0.603412935,0.693784789,0.79275728,1.501202247,1.696779884,1.282472389,1.059398773,4.981767458,2.026623034,1.390002081,7.916496226,2.881018219,0,0,8.106492135,11.5422515,0,0,0
4.550058708,0.0623645,5.423,1.66,97.81112264,1.571690478,0.987851123,1.093896572,0.383667109,0.419292093,0.884075894,0.268235175,0.428984184,1.018455429,1.048077429,1.222425927,0.808634751,1.627048909,0.796781585,0,1.023235988,0.429660884,3.194329922,2.861175198,3.055366288,5.588232809,5.967512282,11.58257297,8.085168739,5.722350397,0,0,15.91336609,21.82903441,0
4.579720096,0.030815913,2.6642,1.69,270.1916099,2.694801381,2.881184447,2.748167284,0.970570268,2.303215816,0.894585704,1.809492862,0.868167815,1.80348478,1.515052678,1.413666298,2.045619311,1.411192382,2.150009731,3.664223045,3.451333736,1.739074609,8.619476837,11.58075432,6.183376389,0,16.10254268,17.58039826,8.181284462,34.74226295,32.97800741,23.47750723,32.20508536,44.17707182,76.33798011
4.608584151,0.06159664,5.3718,1.67,95.54121053,1.569181923,1.411998516,0.80200667,0.58267482,0.606455661,0.447548365,0.814736935,0.434331875,1.160045363,0.606367257,0.530427692,1.228072714,1.17666543,1.075618955,0.611052701,3.107974759,2.610102066,2.695125205,3.621053045,3.0934543,1.414473846,4.027935287,11.72696063,0,11.58736974,16.49842294,0,0,22.10115384,0
4.638473892,0.06298922,5.4068,1.73,78.07900547,1.404814873,1.17941773,1.008354503,0.807206626,0.770962402,0.583538486,0.619674647,1.061823918,0.756265877,0.889442327,2.074803504,0.600461102,0.920521155,1.840718121,0.896315114,2.701567063,2.12699778,2.635540764,4.249197577,4.033418012,5.532809345,1.969442389,5.733849159,4.002490473,0,8.066836025,0,0,21.6125365,0
4.667201661,0.057827513,5.0578,1.76,72.75156009,1.530209203,1.37869495,0.935640532,0.672373924,0.904377181,0.397265851,1.446400822,0.925282192,0.823770468,1.453251451,0.753333761,1.308116993,0.501343618,0,0.65088037,3.310548756,1.853483553,2.870790173,1.542827543,3.295081872,0,4.290471188,15.614137,8.719508704,0,17.57376999,0,0,0,40.68002311
4.714636244,0.06343658,5.4452,1.76,44.90303284,1.394908002,1.285354074,1.038326597,0.707218357,0.824412089,0.869134986,0.879006643,0.421734339,0.750932628,0.735974922,0.858404924,0.5962266,0.228507391,0.783315954,0.889994226,3.353144236,1.689598413,5.233909426,4.219231885,2.002487008,1.373447879,3.911107437,2.846706791,0,0,8.009948031,0,0,0,0
