Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
45.52230301,0.03041776,2.1522,1.43,94.38706163,57.27983074,2.32727704,0.893540117,0.928046475,0.983274549,0.859660334,0.604196924,1.466542578,1.7590634,1.305065356,0.920930378,2.506298351,1.657916359,2.382773646,1.633614216,4.9495812,2.797207981,0.880919115,2.183075374,1.466542578,2.088104569,5.728681945,4.078329236,0,16.5767468,0,33.4096731,0,0,0,77.33720626
45.5432374,0.01925847,1.6674,1.43,76.5402741,25.51933497,3.11030419,2.446254245,1.34365141,0.776515716,0.581909638,0.954297876,1.737246267,2.778349906,2.061283413,2.42427005,1.696529558,1.96394503,3.76346807,0.860069797,0.977201025,4.418045724,5.565465215,1.724027475,4.632656713,13.19221384,0,6.441510666,0,13.09105827,0,0,0,0,0,0
45.57211569,0.022101333,1.8944,1.43,164.8926813,65.15412606,3.695768385,1.967627088,0.851505036,0.947287033,1.35215846,1.039434858,1.261488942,1.815731007,1.796143435,1.68995169,2.956614708,2.852209251,2.623502784,1.498880465,2.554515108,7.699517468,4.849587274,6.009073009,6.055146922,0,3.942152944,11.22589647,24.5123686,22.81434782,16.14705846,0,32.7347141,0,0,0
45.59304588,0.02704764,2.3726,1.42,127.6657935,50.64090711,3.120572539,1.674791149,0.869733766,1.437526972,0.966773505,1.528828885,0.618477344,2.472802078,0.587070292,2.07135552,2.415927127,2.79673764,0.535933168,1.22477439,0.695787013,3.145738446,4.953405587,8.592798477,6.597091675,7.044843502,9.663708508,9.17297331,0,0,0,18.78624934,0,36.69189324,0,0
45.62218326,0.029319253,2.4988,1.42,68.96070067,57.84895152,2.321608946,1.050620912,0.722113247,0.71408048,0.891869293,1.723794642,0.570558615,1.140606475,0.812377402,0.955434946,1.485829725,1.290025227,0.494409841,0.564940321,0,0.725502796,2.741773733,3.397303235,1.521489639,0,5.943318902,4.231132304,6.159274966,0,12.17191711,17.33071792,0,0,0,0
45.64253056,0.0247657,2.182,1.42,144.2228965,60.64808674,2.418655638,0.877971997,1.044859236,0.845375115,0.754180803,1.298653169,1.350929113,0.540129779,0.320581811,3.016283458,0.439755571,0,0,4.01287952,0.759897626,2.576692796,2.163927224,5.362599305,7.204955267,7.693963462,14.07217826,15.02727239,7.291752023,10.17995667,0,0,0,0,54.96944631,0
45.66747485,0.02503383,2.1366,1.4,60.70640911,23.76570222,2.664653551,1.519994519,1.033668055,0.83632055,1.641426588,0.550604433,1.336459708,1.603033824,0.95144446,0.372997116,1.305136433,1.510858564,0.579045531,0.661649791,0,3.398792795,4.281500069,3.978871559,0,7.611555679,10.44109147,0,14.42730442,0,0,0,0,0,0,0
45.70304457,0.025481727,1.8158,1.4,62.31738843,45.21805478,2.938365437,1.777711089,1.477089593,0.704246058,1.612574952,0.540926365,2.188280878,1.049904683,0.934720758,0,1.282195827,2.968603889,0,2.600079438,1.477089593,1.669525816,5.257804263,3.908934253,1.750624702,0,0,0,14.17371322,0,14.00499762,0,0,0,0,0
45.73607529,0.02004266,1.7204,1.4,227.9722797,72.67317694,4.958376164,2.440947455,1.87793403,0.746133728,1.677425449,2.063159945,2.225699591,1.334822033,2.376760257,1.863534362,0.543383689,1.258069086,2.892974761,3.305674673,5.63380209,8.490370144,1.336927644,3.313146199,4.451399182,9.507041027,0,6.189479835,18.02009744,12.57885694,35.61119346,25.3521094,0,0,67.92296115,0
45.76182639,0.01906112,1.6432,1.41,73.28790179,30.97456987,2.428300738,1.140729982,1.604392582,1.41219972,1.371847076,0.964178234,1.170155273,2.10533674,0.833049994,0.489873964,1.714094639,1.984278806,0,0.868974561,4.936592559,3.347841091,4.217315596,1.741877256,7.02093164,6.664399955,4.570919036,0,9.474015329,13.22659702,0,0,0,0,0,0
45.78773584,0.0302932,2.1638,1.41,74.98072672,62.41690825,1.438059305,0.837399909,0.854207227,0.691122314,0.369940756,0.910021904,1.104429546,1.103935213,0.786258925,0.924717072,1.438059305,0.416183351,0.957028467,1.093554223,1.242483239,1.40435479,2.653623871,2.192051774,1.472572728,6.290071399,0,12.2852957,5.961250151,0,11.78058182,16.77352373,0,0,0,0
45.81650637,0.023694867,2.0456,1.39,123.0770584,49.14253918,3.619580589,1.529416433,1.88631857,1.262256913,2.364792651,1.551248824,1.647311344,1.975888826,1.67534873,0.78814931,3.217404968,6.384940159,3.058832866,2.097116049,2.382718193,3.590853759,3.392581178,2.802474634,5.647924607,8.041673903,3.677034249,20.94185912,7.621285471,31.92004705,0,0,0,0,0,0
45.84636551,0.0194648,1.678,1.39,157.8880302,67.62635786,4.266304602,2.32723419,1.208553172,0.768284525,0.575741303,1.180227707,0.859415589,1.030837107,0.815773391,1.918857919,1.119030715,1.295417932,2.234144823,4.254764597,1.933685076,3.278410298,2.753235196,10.23451504,4.583549809,0,4.476122861,19.11968886,0,0,36.66839848,0,0,50.98583696,0,0
45.87303577,0.031927163,2.2778,1.39,70.51977289,59.1437496,2.387809431,0.737790475,1.178895628,0.468394404,1.287029284,0.575632631,1.047907225,0.837950553,1.492039779,0.877392048,1.364462532,2.369303908,1.362074723,0.518794238,0.589447814,3.331207354,0.839272376,4.159734587,1.397209633,1.989386372,0,7.771040516,33.93699738,0,0,0,0,0,0,0
45.9034284,0.02010707,1.6826,1.39,108.5208914,52.55340521,3.385269004,1.892433078,0.935959174,0.89249232,0.928917815,0.914022631,0.83196371,1.995819194,0,1.857564808,2.708215203,1.25403905,4.325561322,3.295085438,4.679795871,5.289482818,7.995869976,1.651266515,6.655709683,0,0,12.33930552,26.94355912,0,17.74855915,0,0,0,0,0
45.93000141,0.01780428,1.5756,1.38,220.2003605,74.51825683,3.517267396,1.933655982,1.849776801,1.007926496,0.839250586,1.806422657,1.879138338,2.253956702,2.22964168,5.244551538,1.835096033,1.416235363,2.44251282,2.790951679,1.057015315,2.38944796,1.505008134,1.864839881,0,3.567426688,14.68076826,6.96763025,40.57122064,0,40.08828454,0,0,0,76.46233471,132.1269144
45.95680958,0.0125172,1.098,1.38,152.6482181,22.43608515,5.764221334,2.750403647,1.315547571,2.628376169,1.790606416,1.101183793,2.22738213,2.671662209,0.634281864,5.221840734,1.740142289,4.028864436,3.474194081,3.969808357,6.013931752,8.496788522,4.281402585,18.5676445,10.69143423,10.14850983,20.88170747,19.82130827,14.42697593,0,0,0,0,0,0,0
45.99282422,0.0326755,2.285,1.38,34.73641978,21.85909668,2.083146113,0.554533495,0.719935297,0.915334402,0.800261411,0.421837088,0.341302659,0.614069811,1.214890813,1.428829919,0.999910134,0.771680646,1.774507185,1.01382555,1.727844712,0.65098316,2.460153897,2.032234022,2.730421274,3.887650603,0,7.593067583,0,0,0,0,0,0,0,0
46.0149931,0.02016703,1.7562,1.38,180.0634895,55.70572,4.185252991,1.707110692,1.04982346,1.038145254,2.222774363,1.822610173,1.935476996,0.994942642,1.968418987,3.241073417,2.160130576,2.500621158,2.875133797,0.821322147,4.665882044,7.383258805,2.657365633,3.292714039,8.847894839,15.7473519,8.640522304,6.151309336,8.954483782,0,17.69578968,0,0,0,67.5040805,0
46.04247212,0.012883947,1.1236,1.38,152.8107163,28.07521463,6.12845562,2.812749804,2.37361426,1.624991707,2.319514789,1.069838158,2.596774575,4.15297965,3.697360673,0.724742709,4.226521117,3.914181207,2.250199843,3.856806183,7.303428491,6.603939246,8.319061515,15.46209353,13.8494644,9.859628463,6.762433788,28.88563026,14.01630632,0,0,0,0,0,0,0
46.07695128,0.03433423,2.3982,1.38,56.28907468,37.92936821,1.387754686,0.791614923,0.47960802,0.784002097,0.543999837,0.401457606,0.649627794,0.779204431,0.231239581,0,0.317201071,1.46879956,0.422194626,3.859385432,2.192493804,1.239066684,3.121734342,4.835135577,5.197022349,3.699833294,2.537608569,3.613118451,0,7.342927246,10.3940447,0,0,0,0,0
46.10404898,0.023802647,2.0668,1.38,90.36682626,35.162805,3.20283634,1.370242018,1.28479492,0.87957893,1.098572865,0.772112332,2.108381408,0.842975086,1.33421011,2.353741549,2.287740243,2.118676239,3.044982263,1.391746777,3.162572112,2.680945597,1.12573978,8.369354517,7.496467227,8.005260657,3.660384388,0,0,31.77551091,0,0,0,0,0,0
46.1299911,0.025515627,2.2252,1.38,48.7693101,20.26019804,2.400923071,1.136223505,0.645368122,0.351655199,1.756835442,1.080415382,1.31122412,1.572764673,1.24463852,1.09786209,1.280492305,1.482329904,2.27244701,5.193249957,0.737563568,3.334615377,2.100327503,3.903740853,3.496597653,2.48927704,0,0,0,9.880758808,0,0,0,0,0,0
46.15638701,0.026996667,2.314,1.38,77.23603018,51.07038511,1.5632323,0.805417622,0.87137594,0.553938929,0.968598904,0.340381227,0.826193484,1.23873553,1.176357519,0.345877753,2.017073935,1.868012171,1.073890163,1.840630392,0.697100752,0.787919506,2.97765497,7.37916243,1.652386967,2.352715038,6.454636592,4.595146558,6.689171863,9.338699331,0,18.8217203,0,0,0,0
46.19428775,0.03141976,2.2416,1.38,75.08135168,42.9137298,1.776449899,1.038053334,0.898450368,0.761533742,1.188921591,0.731160782,1.242301744,1.064353458,0.505378332,0.29718707,1.733121853,0.802522074,0.461357037,1.054344679,1.796900737,2.708002895,2.558477807,2.113455443,8.51864053,6.064539987,5.545989929,0,0,16.04810176,0,16.17210663,0,0,0,0
46.21886093,0.020041483,1.7302,1.36,107.8086948,56.55098804,3.939763043,2.983555382,1.173777679,0.298471014,1.118349289,0.687760359,1.391143916,1.668625503,1.1884499,0.931821887,1.086831184,2.516285899,2.893144612,0.826467189,3.756088573,2.122717157,4.011018412,6.626681438,4.451660531,3.169199733,0,0,0,0,35.61328424,25.35359787,0,0,0,0
46.23991196,0.027158283,2.3446,1.37,79.10639721,46.74832887,2.807098696,1.334374416,0.692952364,0.440513988,0.68773918,1.522600409,1.231915313,0.738818351,0.584678557,1.375277854,1.203042298,0.928447894,1.067499533,0,0,2.349691989,2.959935195,3.667624826,6.570215005,2.338714228,9.624338386,18.2712049,0,0,0,18.70971382,0,0,0,0
46.3104425,0.020632233,1.7812,1.38,98.59511281,43.27344687,3.035173776,1.668619775,0.798118739,0.869775233,0.543164142,1.336136282,2.162099441,1.296679023,1.154421748,0.905141606,0.527856309,1.222119319,1.405153494,0,0,7.216785474,1.298724466,3.21847188,0,6.156915987,21.11425236,18.03783981,0,0,0,24.62766395,0,0,0,0
46.34837116,0.034443,2.403,1.36,91.21841644,46.35887361,2.371495195,0.841722694,1.024485924,1.302543736,0.650738281,0.400189814,1.133258504,0.776743726,0.691527999,1.89770998,1.264797437,0.732080567,1.683445389,0.961799401,0,1.235153747,3.111875995,4.819866359,9.06606803,7.376298654,7.588784623,3.601708327,0,7.319738493,10.36122061,0,21.00516296,0,0,0
46.36660578,0.021830267,1.9262,1.36,102.2569154,46.05661323,3.367492904,1.826054208,0.862078183,0.822042434,1.711185283,1.262809839,1.532583437,2.144656453,1.091067701,1.283201879,1.995551351,0,2.656078848,3.03498416,0.862078183,5.846341847,7.364706981,4.562765802,2.043444583,2.909513869,7.982205402,5.682644276,8.272246319,0,0,0,33.14118142,0,0,0
46.3916965,0.0196627,1.7098,1.36,83.01190755,44.9100443,3.254068382,1.29013426,0.717833638,1.216883104,1.329875436,0.934679216,1.985120184,2.040923995,1.211344264,0.949772555,1.10776796,0.641189942,2.211658732,2.527164894,0.957111517,4.327218593,2.725524594,5.065753645,6.806126346,0,4.43107184,6.309084709,0,12.82192949,18.14967025,0,0,0,0,119.6389397
46.42131359,0.033089537,2.8322,1.36,73.89247114,61.48352052,1.851372455,1.040430178,0.853112427,0.813493057,0.677355469,0.277705868,0.842580175,1.819158575,0.959751481,0,1.645664405,2.286074708,1.314227594,0.50056997,1.137483237,1.285675316,0.809790312,5.017013646,2.696256561,0,2.633063048,0,5.457475724,7.619138203,32.35507873,0,0,0,0,0
46.45660047,0.018762787,1.1224,1.36,194.7149107,64.66782827,5.804497341,2.510880437,1.379148568,1.434654074,1.791848329,1.714140621,1.485951319,1.425874772,1.692591425,0.995326182,0.580449734,2.687772494,2.317735788,6.179540426,4.012068562,2.267381774,4.284372044,5.308720712,9.510088444,6.770365699,4.643597873,6.611685253,19.24930942,26.8738069,19.02017689,54.16292559,0,0,0,0
46.49430572,0.026871633,1.6204,1.37,126.7469773,55.64921991,3.444980898,1.550900003,1.663317836,2.114762318,1.112120892,1.53884257,1.245056626,1.493399219,2.954577735,3.127384056,1.215875611,3.28423201,2.157773918,0.616398273,4.202066112,6.332685474,1.994339971,7.413497569,1.660075501,7.090986563,0,0,33.60148243,0,0,0,0,36.93222168,0,0
46.56213178,0.092443593,3.1004,1.36,78.8409521,52.73337314,1.929152,0.921236349,0.687072639,0.74413725,0.606136613,0.596417221,0.603191343,1.012907884,0.515304479,1.313104553,0.824675664,1.36380738,0.784030935,0.716702058,1.017885391,2.07089313,2.608728926,2.154965868,2.895318446,8.244871668,5.65491884,2.683877496,13.67425644,13.63608574,11.58127378,0,0,0,0,50.89426956
46.59741097,0.044307667,3.1276,1.36,67.9099651,53.11940531,1.689879665,1.226852637,0.796394199,0.472521079,0.758786695,1.348063097,0.629249737,1.056666392,0.895943473,0.842973427,0.983202714,0.853635032,0.327160703,1.495328428,1.274230718,2.400397252,1.814285534,2.997416375,6.040797477,0,3.932810857,8.399470063,8.151426453,0,8.054396635,11.46807646,0,0,0,0
46.62158156,0.01940008,1.6968,1.38,84.29900666,26.45818263,3.578809863,1.400998802,1.09132649,1.695864666,1.540432041,1.657831039,1.149710212,1.723793417,2.455484602,0.48131484,3.929673575,2.59947907,1.494398722,0,0.970067991,3.2893473,2.762420178,15.40298713,11.49710212,3.27397947,0,0,9.308484453,12.99550068,0,0,0,0,0,0
46.65192793,0.01378661,1.1834,1.37,129.8812812,50.48892971,3.851049377,0.788576418,0.682524443,1.301654689,1.083823537,0.666527777,1.617835718,2.91080086,0.575879999,2.031872898,3.159835386,1.828952219,2.102870449,2.402857321,1.365048887,3.085776744,3.887189994,12.04144144,9.707014306,9.214079985,0,0,13.09860387,0,0,0,52.47706492,0,0,0
46.67627592,0.029757,2.5506,1.36,49.81668351,41.3711877,1.82996514,0.85248926,0.79054494,0.502554176,1.004284869,0.463209926,0.749553721,1.123827341,0.800426752,0.941379817,0.731986056,1.271048037,1.948546881,1.113259293,0.632435952,0.714830133,0,7.810428464,2.998214885,0,2.927944224,0,12.13733529,8.472418353,0,0,0,0,0,0
46.71199615,0.03898032,2.7744,1.33,67.63841276,60.31067991,1.920831458,0.836714183,0.90523548,0.690556371,0.670824194,0.117869203,0.858297344,0.514747907,0.611033949,0.239545145,0.279393667,1.293732373,1.115618911,1.274768528,1.448376768,3.819835286,0.687413193,3.407066068,2.288792917,1.629423864,2.235149333,9.547405453,0,12.93543783,18.31034334,0,0,0,0,0
46.74185937,0.016548027,1.4348,1.36,132.5166184,37.06356612,5.758691298,3.065927247,1.848046304,1.988147037,2.934629085,1.388255938,2.021794248,2.02088931,1.919125008,5.078425321,4.606953038,3.047499435,4.379896067,5.004714073,4.549037057,0,9.715570355,8.02564126,10.78290265,0,5.265089186,7.496582064,10.91280228,0,0,30.70600014,0,0,0,0
46.76627945,0.019178713,1.6486,1.36,90.03182778,42.45330398,2.768325222,1.322691595,1.71721343,0.311897975,0.389553047,2.156099452,1.453725655,0.697475991,1.241913284,3.408092279,1.703584752,3.286853831,0.755823768,1.727292973,1.962529634,1.109104656,4.191457334,3.462394043,6.977883144,6.623537516,4.542892672,6.468298355,0,13.14549879,18.60768838,0,0,0,0,0
46.79549659,0.019906133,1.736,1.33,209.1574713,71.35011663,3.898162302,1.547433656,0.827231074,1.803002648,0.938294505,0.923248966,1.400602876,2.687953879,1.19653066,1.876315455,0,2.533395164,2.184612221,4.160433398,1.890813883,1.068575193,4.038290979,0,2.240964602,15.95374214,8.753767977,37.39158314,0,0,17.92771682,25.52598742,0,0,68.38881232,0
