Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
21.77914692,0.038590617,3.3802,1.49,148.3105937,2.610489625,1.972048527,1.645878432,1.472563087,1.451996662,0.952475944,0.433482385,1.03989207,0.617204412,1.451785,1.411075473,2.94029324,1.878141454,1.716855528,1.950670734,3.30720814,6.24919467,5.162207956,8.091671192,6.583513726,9.030883026,12.85842525,9.359028628,19.5990975,9.247624219,0,0,0,35.27688682,365.7507626
21.81170887,0.060501,5.1858,1.44,98.12202976,1.800111491,1.437569037,1.594178737,0.741533427,0.617438241,0.683479832,0.645159958,0.221098694,0.656140639,0.771685295,1.440089193,0.833541626,1.437569037,0,0.933177797,2.461089929,3.543159448,3.841505426,2.211977,3.149475065,4.320267579,12.30263697,2.984832368,12.50130178,11.79721067,25.19580052,0,0,0,311.0592657
21.83713628,0.0592344,5.196,1.42,102.6837251,1.332987172,1.315359566,1.35027004,1.26231587,0.504512662,0.465396383,0.847228261,0.790392446,1.340341584,1.261097795,1.470882397,1.277047676,0.489436118,1.398142666,0.317710598,1.436408591,2.261826424,2.242084424,3.012367149,3.216819802,5.883529588,6.282851176,6.097313152,8.512410117,0,8.57818614,0,16.7542698,22.98253745,79.42764944
21.86771196,0.054863667,4.7026,1.46,77.56711576,1.935449053,1.321068046,1.243451576,0.436121187,1.157497787,0.586217742,1.016358887,0.975267815,0.578848148,0.510586348,0.992537976,0.689392065,1.585281655,1.509526194,1.029063373,3.877101468,3.907224996,4.236226521,5.691609769,3.473088885,6.352243046,13.56675346,3.291528876,4.595277134,13.00939376,0,0,0,0,257.2658433
21.89724132,0.062058717,5.4358,1.46,109.7241405,1.754927449,1.751856326,1.667883047,0.915699206,1.20388023,0.444216011,0.359409142,0.646646892,1.663144743,0.601852369,0.877463724,1.828393099,1.401485061,1.067610114,1.516257316,1.37103707,2.590667773,3.745080986,6.469364548,6.140842129,2.807883918,5.996916142,2.909911013,8.125006976,5.750546265,8.187789506,0,15.99177638,21.93659311,379.064329
21.92421713,0.063882,5.4756,1.49,129.5518906,1.385181946,1.616763057,1.730752876,0.702287247,0.877139829,0.719229087,1.222028823,0.942286002,0.621413931,1.169349288,1.193387523,0.592069385,1.134570566,1.814993249,1.472981171,3.995717152,4.194544037,4.157932613,5.586417478,4.971311452,4.091614364,9.709592679,2.826858005,7.893107696,16.75925243,0,11.3252689,15.53534829,21.31049148,73.64905855
21.94849671,0.05849112,5.1308,1.46,103.6861324,1.582672097,1.363053069,1.528302655,0.920416923,0.894116636,1.178276101,0.953327192,1.486524767,0.678687034,0.478921231,1.861967173,1.724367798,2.478278307,1.415909662,0.321747927,2.545658244,1.832454993,2.838219836,6.101294031,5.429496275,5.958294952,4.241793965,3.087397593,8.620582165,12.20258806,8.68719404,0,0,23.27458966,321.7479274
21.97546361,0.061677,5.2866,1.42,126.3057129,1.633354483,1.204510642,1.678205514,0.824380494,1.15076445,0.67044787,0.904083779,1.084414942,1.673437885,1.059760119,0.706315452,1.226472638,0.940105867,0.805663135,2.135897927,2.069283551,3.04115154,5.921550098,3.616335114,6.178847574,5.650523616,4.022687222,2.927920344,4.087646172,11.57227236,8.238463432,35.19046782,16.09074889,0,152.5641376
22.01329121,0.06029747,5.1906,1.46,107.854689,1.851342336,1.712875476,1.170409594,0.843241279,1.053188016,0.685786871,1.017244882,0.776457491,0.658355397,1.238864106,1.083712587,1.045443986,1.202017878,1.648191381,0.62421845,4.233252292,2.666339356,4.955749928,5.918515674,2.106737269,11.55960093,2.057360614,8.984722397,25.08699814,23.6740627,0,0,0,0,39.01365313
22.03766923,0.045177673,3.9514,1.49,180.0959,2.199738063,2.446560727,1.61418587,1.257858438,0.826860444,0.406800875,1.110837588,1.18436308,1.230165845,0.620054933,0.96426874,0.2790654,1.283441693,0.73326611,1.249692287,4.23750911,4.151809726,5.144464127,4.937055948,5.62361529,7.714149918,10.98362361,7.994450787,16.74148319,15.79857903,11.24723058,16.01412323,21.96724723,30.13339812,52.07051195
22.05830947,0.06391,5.478,1.43,139.7819708,1.171563525,0.992314306,0.8834015,0.3743891,0.526053324,0.718913982,0.872495309,0.523262873,0.496913344,0.876627733,1.36327392,1.183619979,0.680444096,1.295855765,0.8834015,2.329813829,0.419270634,1.558541608,3.489981236,3.975306752,6.816369602,11.6464065,2.825619513,3.944824799,0,31.80245402,0,15.528542,42.60231002,0
22.08699282,0.06206421,5.4522,1.45,71.87658468,1.294144438,1.605726163,1.099189256,0.578285152,0.361132102,0.518206142,1.257820655,1.616474142,0.895460213,0.752248873,1.228340484,1.218820845,0.934240676,1.334394524,1.516123111,2.741831437,1.726958981,1.069928431,2.875018641,3.0701493,4.211453087,13.99156582,8.728960366,0,17.25011184,0,0,0,0,189.5153889
22.10809728,0.05530371,4.7882,1.44,154.6633665,1.47696075,1.277792593,1.06341174,0.594895174,0.81055606,0.581553295,0.604963123,0.483753878,0.717802924,0.844206149,1.1815686,0.683906675,2.096890409,1.797018144,1.701458784,1.538500781,3.391618818,2.401439715,4.839704985,6.890908075,4.7262744,6.729402417,9.796016022,4.558713203,12.90587996,9.187877433,0,71.78029244,0,212.682348
22.14656847,0.051767333,4.4372,1.44,151.363274,1.630451429,1.435086531,1.863132627,0.982189201,1.082409368,0.976298537,0.861719878,1.033601016,1.533676248,1.262626846,0.420761659,1.704794755,1.400084421,0.959888833,1.090614221,4.109000578,4.658541603,2.565489026,7.755478902,2.453881996,5.04913991,9.585476548,10.46521028,24.35066061,0,9.815527986,13.97562481,38.34190619,0,136.3267776
22.16816406,0.05750992,5.0154,1.44,93.81323845,1.325614463,1.354801653,1.022616872,0.624080352,0.584595978,0.798919431,1.163510752,1.046690977,0.966372944,0.6494564,0.946867474,1.753787935,0.252056121,0.864040241,0.981712197,2.219220641,1.863719248,1.154657541,3.878369172,4.417704885,6.059951831,10.78541232,6.280145862,13.1514921,12.41078135,0,0,17.25665971,0,204.5233743
22.19725418,0.045584,3.885,1.44,172.3769389,2.239859627,2.106752236,1.59979734,1.509097958,1.311183961,0.705555783,0.978609603,0.586902952,1.741714846,2.048426291,2.389183602,1.936045067,2.226002362,2.543554728,2.064254632,5.599649068,4.114801324,5.098607402,2.93582881,4.180115631,5.734040645,16.32857668,3.961594925,5.530750986,7.828876828,33.44092504,0,21.77143558,29.86479503,154.8190974
22.22704354,0.055401133,4.874,1.43,81.71745718,1.032054452,1.668021149,0.976618384,1.565602031,1.011413363,0.746396523,0.603899291,0.603628991,1.433081325,1.179810248,1.769236203,1.36540804,2.616503763,0.597952691,1.019080053,1.535795315,2.418324735,4.195129338,4.831194326,4.585860239,6.290617611,0,6.5191931,13.65209001,6.441592434,0,13.05895357,0,0,0
22.24807681,0.06130098,5.2394,1.44,114.8841977,1.754412222,1.773510886,1.38149969,0.390323408,0.548442585,0.74951155,0.545777655,0.981960066,1.424671555,0.761614774,0.710647988,1.850993725,1.418808709,1.621210139,1.534999655,2.081976529,2.622690817,3.249748836,6.549331862,7.252873371,4.263887931,12.14208712,14.72940099,8.225439558,5.821628322,8.288998138,0,0,22.20774964,38.37499138
22.27707823,0.05446518,4.7156,1.4,103.8100816,1.899619501,1.397270123,1.338931808,0.713882008,0.823035144,0.759222926,0.511897466,0.614002014,1.020395612,1.54296594,0.999799737,0.462957268,0.53229338,0.60822817,3.109777103,3.514920952,3.443835191,3.657617369,3.27614378,10.49549772,4.79903874,6.83300633,9.946832623,4.628897819,0,18.65866262,0,18.22135021,0,43.19134866
22.30673852,0.03547296,3.1392,1.4,149.3735129,2.763166389,2.349689241,2.38737576,1.433354187,1.368995437,1.036187396,1.257547726,1.696929559,1.119082388,2.369069783,1.228073951,1.421649107,1.634566428,3.268557197,0.530527947,2.398581935,5.287664281,5.615905422,5.030190902,5.37159546,14.73688741,20.98279477,5.090788676,14.2144187,10.0603818,14.32425456,20.39527651,0,0,132.6319867
22.34503704,0.0506544,4.392,1.43,110.9640021,1.666274255,1.144676662,0.650169464,0.354271407,0.22123822,0.181408891,0.770571217,0.396116391,0.626949126,0.737353233,1.075015648,0.995571992,1.144676662,0.326992885,1.114576224,1.679711951,0.528988325,1.966391749,1.761305638,3.761694757,10.32015022,0,14.26019008,0,14.09044511,10.03118602,14.28268478,0,26.87539121,139.322028
22.36759958,0.054741813,4.7464,1.38,76.26929217,1.914888611,1.555710218,1.246219455,0.928820451,0.955355336,0.923249866,0.814897013,0.488719363,0.435102482,0.852871492,1.790545194,1.381853254,0.794405218,0.605154538,2.062708064,3.497158583,0.978980585,3.032611579,4.074485064,6.961639716,11.1411701,6.798476285,3.298855702,0,6.519176103,0,13.2162379,0,0,42.97308466
