Depth (cm),FlowThrough (mL),FlowRate (mL/min),Conductivity (µS),Dust Concentration (<12 µm),x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
2.762999940412,0.0564829199999198,4.8276,1.75,51.3256565777297,1.59073840185309,1.44359509968167,1.2494527083646,0.847236913665752,0.925906158266486,0.650756618939898,0.691055325120177,0.947308820400509,0.70281714845509,0.661265133230928,0.771267103928768,0.44641904059277,0.256639128832298,1.46625107085958,0.999562166691684,1.88297632795109,2.37200787603593,1.76347813103613,2.36933254326918,1.12450743752814,1.54253420785754,4.39260717784431,9.59150180655516,0,12.6364402307689,0,0,0,0,0
2.80186578027213,0.0566631999999414,4.9632,1.75,77.0409243797516,1.36944857586137,1.37504649723288,1.3285092710672,0.475054503342227,0.593331614552148,0.405428854695801,0.98408094153126,0.708221142442834,0.980813485280082,0.988741871771911,0.192203308892824,0.889997421828223,0.255822604136349,1.75390324447424,0.3321273177668,0.750794175362595,0.945784432234365,4.1016906880137,2.36179425967502,6.72557818477771,3.07525294228519,2.18931581535733,3.18699514099275,4.4493384229736,12.5962360516001,0,0,0,24.025413611603,41.51591472085
2.83289632203878,0.0609712499998674,5.325,1.74,122.208440714371,1.45131013512606,1.18873463990941,0.771650434922412,0.686759955941653,0.367605693303316,0.602851902283134,0.914548663611747,1.20666390204027,0.390648032679471,1.07202697719704,0.357245571723339,0.620334607449345,1.66422849587317,0.271662929447366,0.308660173968965,2.09323577181644,3.07635325735083,3.26732334328519,0,1.04172808714526,4.28694686068007,4.06925034041115,0,12.4048835932801,11.7062228942304,0,23.7318679852779,0,44.6556964654173,77.1650434922412
2.8629978677236,0.0609979999999817,5.2284,1.74,57.3930250832504,1.53994590547826,1.51497200014159,1.07983685058928,0.833557095995763,0.673648220448636,0.903881292345937,1.09697711805895,0.328945836244117,0.520635624391259,0.459238650681539,0.357088905618148,0.620062566549312,1.42585600013326,0.543087589332,1.23409925781632,1.39487853757089,0.878572616160251,3.26589049467038,2.92527231482387,1.04127124878252,2.85671124494518,0,5.92102505239411,8.26629571226771,5.85054462964773,0,11.8607303181634,0,0,115.69680542028
2.90060051280884,0.0608696666666484,5.2174,1.72,32.7021750035469,1.43136706722423,1.04187866916626,0.541056751410759,0.343953033231897,0.429589041050672,0.528375733799569,1.09928990762821,0.549398937599425,0.782599944004848,0.613609169630687,0.894604417015144,1.03561643824716,0.476287391618863,1.08846519418233,1.8550517191226,1.04836455118962,2.20106234251363,1.63638803449368,3.66429969209403,0,1.43136706722423,4.07604137502525,5.93350852607379,0,0,0,0,0,0,38.6469108150542
2.93876625581315,0.0619366666667812,5.465,1.74,51.2234222117727,1.67046635904471,1.14095050304805,0.835584856650575,0.482896656687004,0.603126274897195,0.593455153871147,0.630205413770131,0.971881723656315,0.128186313236168,0.60303835561514,0.703354256439878,1.22133070666682,1.17020564415185,1.33714238095375,0.911547116346082,1.03030408658185,1.2978864215162,2.14426337003902,2.88093903437774,0,2.81341702575951,2.00291114431512,0,4.0705089004022,0,0,0,0,21.9798205137462,0
2.97092635583513,0.0599903166664004,5.209,1.76,79.3954127214129,1.79274247052151,1.78205409452638,1.05876193297028,0.697989530484819,0.80950265073979,0.842475496431787,0.743602345241126,1.11490427312306,0.661726208106422,1.24520714990451,1.08926124791181,1.05079671009492,0.724903360485307,0.552210066805956,0.9411217181958,1.41830891655183,2.23332595235917,1.10691635730504,4.46161407144676,1.05876193297028,4.35704499164722,8.27157760133028,0,21.0128706546387,11.897637523858,8.4700954637622,0,0,0,39.213404924825
3.00758508940927,0.0600148533335879,5.2036,1.91,41.398164632631,1.79200951987832,1.35863810371028,1.25431592925559,1.14622826644268,0.871415667286652,0.306229474915916,0.650386037391787,0.445779380818338,0.529164532654702,1.24469805537675,0.725877273874763,1.26044051875391,0.966142651527309,0.827976449178209,1.56789491156949,2.12659357580497,2.67889544656443,1.65969570304984,2.97319331379103,1.0583290653094,5.8070181909981,0,0,4.20085593689653,5.94638662758206,0,0,0,0,78.3947455784744
3.04058926481686,0.0640636266669777,5.4368,1.99,62.4440228721665,1.19000415201921,1.10307009869938,0.991443459225151,0.51355054181872,0.874653051734122,0.717190002333008,0.609282125833838,0.417606457062171,0.371791297209432,0.583017034192842,0.340001186291204,0.393593873280355,0.678812368430389,0,0.2937610249556,1.32812963395002,2.09132604680305,1.55480417483553,2.08896728857316,0.991443459225151,4.08001423549445,9.68206503149561,2.81884358516966,3.93536498080168,5.57057943619509,7.93154767380121,11.2931606527365,0,0,0
3.07660205431721,0.033326359999807,2.3748,2.07,178.380832392852,2.77774901088254,3.58844322955864,1.69410010263707,1.70517024943044,1.00881308195228,0.689331096450629,1.00391117193308,1.20415419621758,1.19116413466669,1.40092503423848,0.980382003840895,1.89152452866053,2.17481407852039,0.994025653394347,1.12940006842471,5.74442580375524,2.41210737270004,8.96645125937834,4.01564468773231,3.8117252309334,5.22870402048477,11.1671637625002,5.41869388297911,15.1299903697756,0,30.4938018474672,21.7089663543004,0,40.8492501600373,141.175008553089
