Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
24.38777106,0.02053432,1.7702,1.57,106.4069337,22.89347369,3.977799557,1.323612802,1.718409408,1.893498886,1.091508198,1.34250735,2.172408931,1.628577435,1.159926351,2.728372716,0.530373274,3.069866808,4.941487796,3.226525814,6.415395125,3.107655904,2.609834289,6.467636893,8.689635725,15.46568468,8.485972388,12.08256615,0,12.27767722,0,0,0,0,0,0
24.41201396,0.021199387,1.8328,1.58,105.6355476,44.00471008,4.174092131,1.025670762,0.665799803,1.128674512,1.409687238,1.517121948,1.841224148,1.89298289,2.247074336,2.64277827,2.568672081,0.594711804,3.41890254,2.343977491,2.663199213,2.006775063,3.791937943,4.698550754,8.417024675,5.99219823,4.109875329,17.55526825,17.03684601,11.89250222,0,0,0,0,0,0
24.4330008,0.02711256,2.3508,1.58,175.7456169,71.10482752,1.807606711,1.002468555,0.694120977,1.544399089,0.964458603,1.186241904,1.233992848,0.986752419,0.292832287,1.377597159,0.80338076,1.860027305,0,1.221841714,0.694120977,2.353654571,2.964926907,4.89841334,8.226618985,7.027974891,9.640569123,13.72651346,6.660578827,9.298780821,26.32518075,18.74126637,0,0,50.21129751,0
24.46151157,0.01495908,1.3122,1.6,183.5026188,55.47852031,2.63915613,2.422563317,2.358859548,1.599510626,1.997750185,2.457145362,1.118274156,3.129766154,0.530743398,1.248411855,0.72804307,1.685601719,0,3.321787514,3.774175277,8.53175473,5.373776907,11.09765153,5.964128832,4.245947186,17.47303369,24.87859679,36.2158655,16.85356004,23.85651533,0,0,0,0,0
24.48250313,0.02004156,1.7352,1.6,215.2441907,65.95242573,3.192554391,1.808208466,1.291150508,1.790819233,0.931954175,2.063273183,1.112910875,2.002342943,1.188445354,2.329545805,3.803894593,1.258138137,1.446566773,0.826464027,2.817055653,7.429481628,5.348004092,3.313328044,11.12910875,9.507562829,8.694616214,0,0,12.57954735,0,25.35350088,36.09902762,0,67.92668917,0
24.5174902,0.03294732,2.3148,1.64,142.4458668,68.2008151,1.735406288,0.714946071,0.214198719,0.635447936,0.793659142,1.115618328,1.015460594,1.218007299,0.722920676,0.566816749,1.322214315,3.443913778,2.639800879,1.005461348,0.571196584,2.582449833,3.253143044,4.030935615,1.353947458,5.783365412,10.57771452,0,21.92413138,7.652026111,10.83157966,15.42230776,0,0,41.31919733,0
24.54612879,0.017247743,1.2218,1.64,217.700438,62.40081707,3.472900702,1.575828693,1.091122257,1.387265971,1.516079016,1.065549079,1.616477418,1.938904676,2.761903213,2.165511447,3.788618948,4.385800009,4.202209849,0.960335974,2.182244514,9.866195176,4.660711672,11.55007844,12.93181934,3.682537617,5.05149193,7.192456283,41.880341,29.23440453,0,0,0,57.53965027,0,0
24.56899117,0.012153827,1.0538,1.62,235.8967958,71.03383961,3.696348169,2.683548771,2.322650777,1.476523078,2.151498656,1.512142433,1.376385646,3.30184701,1.959736593,0.768280366,3.584337618,3.111989127,5.963441713,1.362832369,0,3.500329706,8.818814668,2.731825318,3.670361721,0,14.33735047,10.20696142,14.85831154,82.97427957,0,0,59.52699901,0,0,0
24.63046411,0.03216409,2.2414,1.62,121.4944494,66.04943132,2.624172567,0.957696011,0.585105832,0.650921773,0.92912639,0.714240517,0.346729382,0.415889027,0.246841523,0.580619343,0.677205824,3.135801567,0.901360951,1.544918111,2.340423327,1.322667625,4.165450697,4.129093209,8.321505163,3.949464364,2.708823295,15.42759517,0,0,0,0,22.49343376,0,42.32536399,0
24.66371142,0.0234528,1.6752,1.62,171.1645799,69.27220804,2.437959915,1.15890166,0.702132456,1.657870789,1.114960334,1.175444959,0.713277415,1.140733054,0.677056296,1.592568291,0.928746634,0.537570161,3.090404426,1.412507537,1.604874184,4.534895675,5.712662501,5.662800416,7.608292428,5.416450371,3.714986537,5.289502316,7.699948112,10.74983597,0,21.66580148,30.8483775,42.31601853,0,0
24.71506181,0.013836667,1.186,1.61,97.79435088,35.85892934,4.033892759,1.178585399,0.340027643,1.729260955,2.159805216,1.328232982,0.402995725,0.483378418,1.147593296,2.024522227,0,3.644671302,2.095262932,3.59124682,1.360110573,3.074613384,0,16.79703106,6.447931607,4.590373185,6.29680821,8.965572626,26.10243456,0,0,0,0,0,0,0
24.74190046,0.02326912,2.0352,1.61,136.326466,67.60622495,2.223185021,1.713139573,0.808771309,0.514140788,0,0.592361798,1.198179716,0.862303264,2.047202375,0.802569792,0.468038952,2.167254366,1.245919689,1.423657481,0.808771309,3.65655431,1.151551336,2.853750498,1.917087546,2.729603166,14.97724646,10.66251237,7.760729373,0,0,0,31.09188607,42.65004948,0,0
