ID,core,section,cut,sample_number,sampleID,top_depth,bottom_depth,ave_depth,top_depth_adj,bottom_depth_adj,ave_depth_adj,x_m,y_m,dD,d18O,dxs,dln
alhic2302-155_2-l-36,alhic2302,155_2,l,36,alhic2302-155_2-l-36,126.885,126.899,126.892,126.7835184,126.7975184,126.7905184,-0.0305,0.1095,-294.28,-37.02,1.89,11.52942651
alhic2302-155_2-l-37,alhic2302,155_2,l,37,alhic2302-155_2-l-37,126.899,126.914,126.9065,126.7975184,126.8125184,126.8050184,-0.0305,0.1095,-292.82,-36.81,1.63,11.28172873
alhic2302-155_2-l-38,alhic2302,155_2,l,38,alhic2302-155_2-l-38,126.914,126.928,126.921,126.8125184,126.8265184,126.8195184,-0.0305,0.1095,-292.63,-36.76,1.46,10.99979871
alhic2302-155_2-l-39,alhic2302,155_2,l,39,alhic2302-155_2-l-39,126.928,126.943,126.9355,126.8265184,126.8415184,126.8340184,-0.0305,0.1095,-291.62,-36.66,1.67,11.32601758
alhic2302-155_2-l-40,alhic2302,155_2,l,40,alhic2302-155_2-l-40,126.943,126.957,126.95,126.8415184,126.8555184,126.8485184,-0.0305,0.1095,-290.6,-36.5,1.37,11.00546296
alhic2302-155_2-l-41,alhic2302,155_2,l,41,alhic2302-155_2-l-41,126.957,126.971,126.964,126.8555184,126.8695184,126.8625184,-0.0305,0.1095,-291.3,-36.59,1.43,11.00767309
alhic2302-155_2-l-42,alhic2302,155_2,l,42,alhic2302-155_2-l-42,126.971,126.986,126.9785,126.8695184,126.8845184,126.8770184,-0.0305,0.1095,-291.3,-36.59,1.44,11.00767309
alhic2302-155_2-l-43,alhic2302,155_2,l,43,alhic2302-155_2-l-43,126.986,127,126.993,126.8845184,126.8985184,126.8915184,-0.0305,0.1095,-290.83,-36.55,1.54,11.23081251
alhic2302-155_2-l-44,alhic2302,155_2,l,44,alhic2302-155_2-l-44,127,127.014,127.007,126.8985184,126.9125184,126.9055184,-0.0305,0.1095,-291.18,-36.58,1.45,11.06701522
alhic2302-155_2-l-45,alhic2302,155_2,l,45,alhic2302-155_2-l-45,127.014,127.036,127.025,126.9125184,126.9345184,126.9235184,-0.0305,0.1095,-290.25,-36.48,1.56,11.27891903
alhic2302-155_2-l-46,alhic2302,155_2,l,46,alhic2302-155_2-l-46,127.036,127.064,127.05,126.9345184,126.9625184,126.9485184,-0.0305,0.1095,-289.18,-36.33,1.46,11.13780794
alhic2302-155_2-r-1,alhic2302,155_2,r,1,alhic2302-155_2-r-1,126.4,126.42,126.41,126.4484001,126.4684001,126.4584001,0.1095,0.016,-299.55,-37.64,1.55,10.88552519
alhic2302-155_2-r-2,alhic2302,155_2,r,2,alhic2302-155_2-r-2,126.42,126.432,126.426,126.4684001,126.4804001,126.4744001,0.1095,0.016,-299.93,-37.72,1.8,11.2290006
alhic2302-155_2-r-3,alhic2302,155_2,r,3,alhic2302-155_2-r-3,126.432,126.444,126.438,126.4804001,126.4924001,126.4864001,0.1095,0.016,-300.06,-37.7,1.52,10.82171105
alhic2302-155_2-r-4,alhic2302,155_2,r,4,alhic2302-155_2-r-4,126.444,126.458,126.451,126.4924001,126.5064001,126.4994001,0.1095,0.016,-300.41,-37.74,1.55,10.76472553
alhic2302-155_2-r-5,alhic2302,155_2,r,5,alhic2302-155_2-r-5,126.458,126.471,126.4645,126.5064001,126.5194001,126.5129001,0.1095,0.016,-301.01,-37.81,1.5,10.68256291
alhic2302-155_2-r-6,alhic2302,155_2,r,6,alhic2302-155_2-r-6,126.471,126.484,126.4775,126.5194001,126.5324001,126.5259001,0.1095,0.016,-301.99,-37.92,1.39,10.49947359
alhic2302-155_2-r-7,alhic2302,155_2,r,7,alhic2302-155_2-r-7,126.484,126.497,126.4905,126.5324001,126.5454001,126.5389001,0.1095,0.016,-302.03,-37.91,1.23,10.33122805
alhic2302-155_2-r-8,alhic2302,155_2,r,8,alhic2302-155_2-r-8,126.497,126.511,126.504,126.5454001,126.5594001,126.5524001,0.1095,0.016,-302.49,-38,1.54,10.67066306
alhic2302-155_2-r-9,alhic2302,155_2,r,9,alhic2302-155_2-r-9,126.511,126.524,126.5175,126.5594001,126.5724001,126.5659001,0.1095,0.016,-302.53,-38,1.48,10.61331457
alhic2302-155_2-r-10,alhic2302,155_2,r,10,alhic2302-155_2-r-10,126.524,126.537,126.5305,126.5724001,126.5854001,126.5789001,0.1095,0.016,-302.91,-38.09,1.79,11.06763855
alhic2302-155_2-r-11,alhic2302,155_2,r,11,alhic2302-155_2-r-11,126.537,126.55,126.5435,126.5854001,126.5984001,126.5919001,0.1095,0.016,-302.91,-38.05,1.51,10.62343263
alhic2302-155_2-r-12,alhic2302,155_2,r,12,alhic2302-155_2-r-12,126.55,126.563,126.5565,126.5984001,126.6114001,126.6049001,0.1095,0.016,-302.5,-37.99,1.46,10.54532962
alhic2302-155_2-r-13,alhic2302,155_2,r,13,alhic2302-155_2-r-13,126.563,126.577,126.57,126.6114001,126.6254001,126.6184001,0.1095,0.016,-302.75,-38.04,1.61,10.7418987
alhic2302-155_2-r-14,alhic2302,155_2,r,14,alhic2302-155_2-r-14,126.577,126.59,126.5835,126.6254001,126.6384001,126.6319001,0.1095,0.016,-302.09,-37.94,1.4,10.5780971
alhic2302-155_2-r-15,alhic2302,155_2,r,15,alhic2302-155_2-r-15,126.59,126.603,126.5965,126.6384001,126.6514001,126.6449001,0.1095,0.016,-301.85,-37.91,1.43,10.58908554
