ID,dD,d18O,dxs
alhic2302-156_2-r-18,-293.48,-36.82,1.07
alhic2302-156_2-r-19,-293.76,-36.84,0.96
alhic2302-156_2-r-20,-293.54,-36.82,1.03
alhic2302-156_2-r-21,-293.25,-36.8,1.16
alhic2302-156_2-r-22,-293.37,-36.81,1.07
alhic2302-156_2-r-23,-293.71,-36.88,1.34
alhic2302-156_2-r-24,-294.14,-36.92,1.23
alhic2302-156_2-r-25,-295.09,-37.05,1.3
alhic2302-156_2-r-26,-295.55,-37.12,1.39
alhic2302-156_2-r-27,-295.36,-37.11,1.54
alhic2302-156_2-r-28,-296.07,-37.21,1.63
alhic2302-156_2-r-29,-295.4,-37.13,1.67
alhic2302-156_2-r-30,-295.97,-37.23,1.86
alhic2302-156_2-r-31,-296.96,-37.3,1.41
alhic2302-156_2-r-32,-297.22,-37.42,2.13
alhic2302-156_2-r-33,-297.23,-37.42,2.13
alhic2302-156_2-r-34,-297.53,-37.43,1.91
alhic2302-156_2-r-35,-296.48,-37.26,1.61
alhic2302-156_2-r-36,-296.14,-37.2,1.43
alhic2302-156_2-r-37,-296.3,-37.23,1.58
alhic2302-156_2-r-38,-296.8,-37.31,1.65
alhic2302-156_2-r-39,-297.12,-37.37,1.81
alhic2302-156_2-r-40,-297.93,-37.49,1.96
alhic2302-156_2-r-41,-297.94,-37.49,1.99
alhic2302-156_2-r-42,-298.52,-37.56,1.99
alhic2302-156_2-r-43,-298.64,-37.58,1.99
alhic2302-156_2-r-44,-298.85,-37.59,1.86
alhic2302-156_2-r-45,-298.91,-37.65,2.32
alhic2302-158-l-1,-295.61,-37.14,1.49
alhic2302-158-l-2,-295.34,-37.09,1.36
alhic2302-158-l-3,-295.01,-37.04,1.31
alhic2302-158-l-4,-294.46,-36.94,1.06
alhic2302-158-l-5,-294.54,-36.95,1.05
alhic2302-158-l-6,-295.17,-37.02,0.96
alhic2302-158-l-7,-296.02,-37.08,0.63
alhic2302-158-l-8,-297.18,-37.23,0.67
alhic2302-158-l-9,-297.5,-37.22,0.24
alhic2302-158-l-10,-298.09,-37.33,0.52
alhic2302-158-l-11,-297.7,-37.29,0.61
alhic2302-158-l-12,-297.12,-37.18,0.35
alhic2302-158-l-13,-297.42,-37.24,0.5
alhic2302-158-l-14,-298.3,-37.31,0.19
alhic2302-158-l-15,-297.48,-37.26,0.63
alhic2302-158-l-16,-296.45,-37.1,0.35
alhic2302-158-l-17,-296.31,-37.1,0.53
alhic2302-158-l-18,-295.72,-37.04,0.6
alhic2302-158-l-19,-295.64,-37.05,0.76
alhic2302-158-l-20,-294.84,-36.95,0.73
alhic2302-158-l-21,-294.69,-36.95,0.95
alhic2302-158-l-22,-294.8,-36.97,0.94
alhic2302-158-l-23,-294.96,-37,1.04
alhic2302-158-l-24,-294.53,-36.9,0.64
alhic2302-158-l-25,-294.88,-37,1.11
alhic2302-158-l-26,-294.65,-36.98,1.21
alhic2302-158-l-27,-295.12,-37,0.86
alhic2302-158-l-28,-295.39,-37.07,1.17
alhic2302-158-l-29,-294,-36.89,1.11
alhic2302-158-l-30,-293.37,-36.78,0.9
alhic2302-158-l-31,-293.59,-36.86,1.25
alhic2302-158-l-32,-293.15,-36.82,1.38
alhic2302-158-l-33,-293.05,-36.82,1.5
alhic2302-158-l-34,-293.37,-36.87,1.59
alhic2302-158-l-35,-292.73,-36.78,1.49
alhic2302-158-l-36,-292.73,-36.81,1.77
alhic2302-158-l-37,-292.19,-36.75,1.85
alhic2302-158-l-38,-291.38,-36.62,1.59
alhic2302-158-l-39,-291.42,-36.64,1.69
alhic2302-158-l-40,-291.33,-36.65,1.89
alhic2302-158-l-41,-291.01,-36.62,1.99
alhic2302-158-l-42,-290.92,-36.6,1.85
alhic2302-158-l-43,-291.42,-36.6,1.42
alhic2302-158-l-44,-291.78,-36.65,1.45
alhic2302-158-l-45,-292.42,-36.74,1.5
alhic2302-158-l-46,-292.62,-36.72,1.11
alhic2302-158-l-47,-293.05,-36.74,0.9
alhic2302-158-l-48,-293.35,-36.77,0.77
alhic2302-158-l-49,-293.9,-36.87,1.06
alhic2302-158-l-50,-293.99,-36.87,0.99
alhic2302-158-r-1,-298.27,-37.56,2.22
alhic2302-158-r-2,-298.07,-37.54,2.23
alhic2302-158-r-3,-298.08,-37.53,2.17
alhic2302-158-r-4,-297.19,-37.38,1.83
alhic2302-158-r-5,-296.02,-37.15,1.15
alhic2302-158-r-6,-295.64,-37.1,1.19
alhic2302-158-r-7,-295.04,-37.01,1.01
alhic2302-158-r-8,-294.66,-36.94,0.88
alhic2302-158-r-9,-294.35,-36.89,0.8
alhic2302-158-r-10,-294.61,-36.9,0.55
alhic2302-158-r-11,-295.7,-37.06,0.81
alhic2302-158-r-12,-296.13,-37.09,0.61
alhic2302-158-r-13,-297.18,-37.26,0.87
alhic2302-158-r-14,-297.79,-37.22,-0.03
alhic2302-158-r-15,-298.27,-37.36,0.6
alhic2302-158-r-16,-297.9,-37.28,0.35
alhic2302-158-r-17,-298.18,-37.32,0.35
alhic2302-158-r-18,-297.73,-37.27,0.43
alhic2302-158-r-19,-297.7,-37.3,0.73
alhic2302-158-r-20,-297.16,-37.23,0.68
alhic2302-158-r-21,-296.61,-37.17,0.74
alhic2302-158-r-22,-295.9,-37.09,0.78
alhic2302-158-r-23,-295.43,-37.01,0.67
alhic2302-158-r-24,-294.39,-36.89,0.74
alhic2302-158-r-25,-294.42,-36.93,0.99
alhic2302-158-r-26,-294.36,-36.94,1.15
alhic2302-158-r-27,-294.87,-36.89,0.26
alhic2302-158-r-28,-294.48,-36.92,0.88
alhic2302-158-r-29,-294.44,-36.93,0.97
alhic2302-158-r-30,-294.45,-36.9,0.74
alhic2302-158-r-31,-294.97,-37.04,1.31
alhic2302-158-r-32,-294.02,-36.88,0.98
alhic2302-158-r-33,-294.44,-36.92,0.95
alhic2302-158-r-34,-294.03,-36.87,0.92
alhic2302-158-r-35,-293.97,-36.89,1.12
alhic2302-158-r-36,-293.49,-36.83,1.16
alhic2302-158-r-37,-293.38,-36.84,1.36
alhic2302-158-r-38,-292.95,-36.8,1.48
alhic2302-158-r-39,-292.65,-36.72,1.14
alhic2302-158-r-40,-293.38,-36.81,1.12
alhic2302-158-r-41,-292.62,-36.75,1.39
alhic2302-158-r-42,-291.94,-36.69,1.54
alhic2302-158-r-43,-291.52,-36.69,1.97
alhic2302-158-r-44,-291.34,-36.65,1.86
alhic2302-158-r-45,-290.91,-36.58,1.71
alhic2302-158-r-46,-290.7,-36.58,1.91
alhic2302-158-r-47,-290.49,-36.56,1.97
alhic2302-158-r-48,-291.1,-36.6,1.72
alhic2302-158-r-49,-291.24,-36.61,1.61
alhic2302-158-r-50,-291.87,-36.67,1.49
alhic2302-158-r-51,-292.22,-36.75,1.74
alhic2302-158-r-52,-293.3,-36.81,1.15
alhic2302-155_2-l-1,-302.22,-37.92,1.16
alhic2302-155_2-l-2,-300.48,-37.73,1.36
alhic2302-155_2-l-3,-299.93,-37.71,1.77
alhic2302-155_2-l-4,-299.54,-37.66,1.71
alhic2302-155_2-l-5,-299.63,-37.68,1.83
alhic2302-155_2-l-6,-300.06,-37.74,1.88
alhic2302-155_2-l-7,-300.05,-37.72,1.71
alhic2302-155_2-l-8,-299.86,-37.68,1.59
alhic2302-155_2-l-9,-300.06,-37.74,1.86
alhic2302-155_2-l-10,-300.17,-37.78,2.06
alhic2302-155_2-l-11,-300.04,-37.73,1.79
alhic2302-155_2-l-12,-300.35,-37.8,2.05
alhic2302-155_2-l-13,-300.59,-37.81,1.91
alhic2302-155_2-l-14,-300.43,-37.78,1.81
alhic2302-155_2-l-15,-300.66,-37.77,1.54
alhic2302-155_2-l-16,-301.69,-37.88,1.31
alhic2302-155_2-l-17,-302.23,-37.95,1.37
alhic2302-155_2-l-18,-302.6,-37.99,1.29
alhic2302-155_2-l-19,-302.55,-37.96,1.15
alhic2302-155_2-l-20,-303.21,-38.04,1.13
alhic2302-155_2-l-21,-303.44,-38.07,1.11
alhic2302-155_2-l-22,-302.77,-37.99,1.14
alhic2302-155_2-l-23,-303.27,-38.06,1.23
alhic2302-155_2-l-24,-302.95,-37.99,1
alhic2302-155_2-l-25,-302.95,-38.01,1.14
alhic2302-155_2-l-26,-302.91,-38.03,1.34
alhic2302-155_2-l-27,-301.6,-37.87,1.35
